r (Ang), PDF (RMC), PDF (Expt)
   1.0000000000000000E-002  ,  -0.44898040360000002       ,  -0.43370780114151097     
   2.0000000000000000E-002  ,  -0.44898040360000002       ,  -0.43351803203783201     
   2.9999999999999999E-002  ,  -0.44898040360000002       ,  -0.43323883530172502     
   4.0000000000000001E-002  ,  -0.44898040360000002       ,  -0.43292158945623399     
   5.0000000000000003E-002  ,  -0.44898040360000002       ,  -0.43263018300850498     
   5.9999999999999998E-002  ,  -0.44898040360000002       ,  -0.43243399030977903     
   7.0000000000000007E-002  ,  -0.44898040360000002       ,  -0.43240017395991898     
   8.0000000000000002E-002  ,  -0.44898040360000002       ,  -0.43258611688997201     
   8.9999999999999997E-002  ,  -0.44898040360000002       ,  -0.43303272143840799     
  0.10000000000000001       ,  -0.44898040360000002       ,  -0.43375964140836298     
  0.11000000000000000       ,  -0.44898040360000002       ,  -0.43476185632847197     
  0.12000000000000000       ,  -0.44898040360000002       ,  -0.43600975510107098     
  0.13000000000000000       ,  -0.44898040360000002       ,  -0.43745091824294202     
  0.14000000000000001       ,  -0.44898040360000002       ,  -0.43901451111280798     
  0.14999999999999999       ,  -0.44898040360000002       ,  -0.44061747640808602     
  0.16000000000000000       ,  -0.44898040360000002       ,  -0.44217195225259398     
  0.17000000000000001       ,  -0.44898040360000002       ,  -0.44359316745626898     
  0.17999999999999999       ,  -0.44898040360000002       ,  -0.44480702231697999     
  0.19000000000000000       ,  -0.44898040360000002       ,  -0.44575660210714202     
  0.20000000000000001       ,  -0.44898040360000002       ,  -0.44640698644555599     
  0.20999999999999999       ,  -0.44898040360000002       ,  -0.44674789814898602     
  0.22000000000000000       ,  -0.44898040360000002       ,  -0.44679396052456699     
  0.23000000000000001       ,  -0.44898040360000002       ,  -0.44658257824111502     
  0.23999999999999999       ,  -0.44898040360000002       ,  -0.44616969807228202     
  0.25000000000000000       ,  -0.44898040360000002       ,  -0.44562391675901802     
  0.26000000000000001       ,  -0.44898040360000002       ,  -0.44501956242996399     
  0.27000000000000002       ,  -0.44898040360000002       ,  -0.44442946754683199     
  0.28000000000000003       ,  -0.44898040360000002       ,  -0.44391816670765399     
  0.28999999999999998       ,  -0.44898040360000002       ,  -0.44353619151726098     
  0.29999999999999999       ,  -0.44898040360000002       ,  -0.44331600486168199     
  0.31000000000000000       ,  -0.44898040360000002       ,  -0.44326993326287700     
  0.32000000000000001       ,  -0.44898040360000002       ,  -0.44339023891073998     
  0.33000000000000002       ,  -0.44898040360000002       ,  -0.44365124611306000     
  0.34000000000000002       ,  -0.44898040360000002       ,  -0.44401322449442998     
  0.35000000000000003       ,  -0.44898040360000002       ,  -0.44442755561402397     
  0.35999999999999999       ,  -0.44898040360000002       ,  -0.44484258868462401     
  0.37000000000000000       ,  -0.44898040360000002       ,  -0.44520953652032702     
  0.38000000000000000       ,  -0.44898040360000002       ,  -0.44548777910039600     
  0.39000000000000001       ,  -0.44898040360000002       ,  -0.44564902588272198     
  0.40000000000000002       ,  -0.44898040360000002       ,  -0.44567992867857797     
  0.41000000000000003       ,  -0.44898040360000002       ,  -0.44558291799638100     
  0.41999999999999998       ,  -0.44898040360000002       ,  -0.44537523669419998     
  0.42999999999999999       ,  -0.44898040360000002       ,  -0.44508634321664398     
  0.44000000000000000       ,  -0.44898040360000002       ,  -0.44475403100573702     
  0.45000000000000001       ,  -0.44898040360000002       ,  -0.44441974231171200     
  0.46000000000000002       ,  -0.44898040360000002       ,  -0.44412363007193301     
  0.47000000000000003       ,  -0.44898040360000002       ,  -0.44389993370483699     
  0.47999999999999998       ,  -0.44898040360000002       ,  -0.44377318362361401     
  0.48999999999999999       ,  -0.44898040360000002       ,  -0.44375564203684498     
  0.50000000000000000       ,  -0.44898040360000002       ,  -0.44384623729820000     
  0.51000000000000001       ,  -0.44898040360000002       ,  -0.44403107335645903     
  0.52000000000000002       ,  -0.44898040360000002       ,  -0.44428541491501999     
  0.53000000000000003       ,  -0.44898040360000002       ,  -0.44457688313402999     
  0.54000000000000004       ,  -0.44898040360000002       ,  -0.44486946444460701     
  0.55000000000000004       ,  -0.44898040360000002       ,  -0.44512785057539100     
  0.56000000000000005       ,  -0.44898040360000002       ,  -0.44532159989250297     
  0.57000000000000006       ,  -0.44898040360000002       ,  -0.44542864081176597     
  0.57999999999999996       ,  -0.44898040360000002       ,  -0.44543772289324601     
  0.58999999999999997       ,  -0.44898040360000002       ,  -0.44534954975945001     
  0.59999999999999998       ,  -0.44898040360000002       ,  -0.44517648488325401     
  0.60999999999999999       ,  -0.44898040360000002       ,  -0.44494088826169698     
  0.62000000000000000       ,  -0.44898040360000002       ,  -0.44467229981892298     
  0.63000000000000000       ,  -0.44898040360000002       ,  -0.44440381613835300     
  0.64000000000000001       ,  -0.44898040360000002       ,  -0.44416809618097203     
  0.65000000000000002       ,  -0.44898040360000002       ,  -0.44399346929129202     
  0.66000000000000003       ,  -0.44898040360000002       ,  -0.44390060128303299     
  0.67000000000000004       ,  -0.44898040360000002       ,  -0.44390010432835098     
  0.68000000000000005       ,  -0.44898040360000002       ,  -0.44399136232626402     
  0.69000000000000006       ,  -0.44898040360000002       ,  -0.44416269893297500     
  0.70000000000000007       ,  -0.44898040360000002       ,  -0.44439285741084300     
  0.70999999999999996       ,  -0.44898040360000002       ,  -0.44465360822573602     
  0.71999999999999997       ,  -0.44898040360000002       ,  -0.44491316955097499     
  0.72999999999999998       ,  -0.44898040360000002       ,  -0.44514003248493800     
  0.73999999999999999       ,  -0.44898040360000002       ,  -0.44530673744210603     
  0.75000000000000000       ,  -0.44898040360000002       ,  -0.44539315584598799     
  0.76000000000000001       ,  -0.44898040360000002       ,  -0.44538889083102301     
  0.77000000000000002       ,  -0.44898040360000002       ,  -0.44529451507569501     
  0.78000000000000003       ,  -0.44898040360000002       ,  -0.44512150092686398     
  0.79000000000000004       ,  -0.44898040360000002       ,  -0.44489085169596199     
  0.80000000000000004       ,  -0.44898040360000002       ,  -0.44463059557588003     
  0.81000000000000005       ,  -0.44898040360000002       ,  -0.44437243735903698     
  0.82000000000000006       ,  -0.44898040360000002       ,  -0.44414796252427202     
  0.83000000000000007       ,  -0.44898040360000002       ,  -0.44398484174699498     
  0.83999999999999997       ,  -0.44898040360000002       ,  -0.44390348519563799     
  0.84999999999999998       ,  -0.44898040360000002       ,  -0.44391454483191001     
  0.85999999999999999       ,  -0.44898040360000002       ,  -0.44401756510084900     
  0.87000000000000000       ,  -0.44898040360000002       ,  -0.44420094904459601     
